opinion_id,blog_id,user_id,opinion,created_at,updated_at
33,31,61,0,2015-10-09 21:40:09.684423,2001-02-13 05:31:34.406283
34,59,86,0,2018-05-08 09:45:29.547667,2018-11-04 00:45:05.821557
35,49,43,0,2007-09-28 19:04:16.788203,1993-03-17 09:29:55.366584
36,45,52,0,1989-04-11 11:10:54.828771,2019-05-17 06:54:07.855738
37,30,15,1,1978-10-14 06:14:37.960799,2011-06-26 06:30:03.925330
38,49,56,1,1980-01-25 00:59:56.802159,1982-03-09 23:36:31.687846
39,72,81,0,1999-12-18 18:31:45.129149,2024-01-11 02:47:15.003527
40,8,47,0,1980-03-13 18:21:44.448588,2019-05-29 19:48:52.199291
41,33,74,0,2023-09-21 15:46:29.981502,1986-07-13 16:36:54.897401
42,56,16,1,2010-07-03 15:11:51.671899,2006-08-29 13:02:33.615485
43,84,76,1,1995-10-18 02:02:57.152023,2006-02-01 14:43:58.117906
44,42,74,1,1982-10-23 11:07:54.560767,2021-12-05 03:18:51.843052
45,35,42,1,2011-06-29 18:40:23.459112,2009-07-27 10:52:12.405073
46,7,10,0,1973-06-05 12:31:04.134814,2016-06-04 00:47:24.162902
47,89,29,0,1981-07-05 09:55:39.272622,1996-09-21 05:21:28.362925
48,96,32,0,1991-11-25 03:17:27.838487,2021-12-11 19:53:09.171768
49,80,53,1,2006-10-14 03:40:21.558869,2012-02-21 18:27:45.559878
50,7,80,0,2000-03-30 00:10:50.403368,1997-07-12 18:50:53.814487
51,94,16,0,1995-01-31 22:54:09.745589,1980-07-30 17:42:51.709506
52,2,39,1,2017-05-18 06:41:29.050884,1974-09-12 10:36:59.456197
53,15,16,1,2019-03-02 03:40:40.812911,1971-02-25 18:41:35.684154
54,60,40,1,2023-07-05 01:42:38.866489,1998-05-24 17:01:45.966956
55,34,84,0,1988-02-15 20:31:19.133748,1996-12-08 21:49:23.724475
56,13,60,1,1990-01-30 20:31:01.463621,2013-01-28 21:16:28.719261
57,100,21,0,1993-10-14 10:26:35.733657,1975-01-19 12:12:45.438038
58,39,51,1,2023-04-25 20:20:48.290997,2011-09-30 11:06:01.573393
59,21,74,1,2006-10-13 03:41:21.289529,1996-01-21 03:59:20.096272
60,28,39,1,1985-10-09 23:37:00.289842,1981-03-11 19:34:43.339337
61,19,72,0,1995-04-23 21:09:35.549704,1997-11-05 00:34:40.053057
62,30,42,0,1977-06-25 06:23:26.366784,2021-10-18 18:50:01.083649
63,53,17,0,1984-09-22 23:12:13.676422,2009-01-07 12:04:14.809834
64,92,72,0,2005-10-05 12:57:34.437672,2016-03-10 20:05:22.248483
65,8,68,1,1986-05-05 18:52:04.159761,2017-07-21 17:22:58.806683
66,80,51,1,2014-01-18 06:23:24.597230,1999-11-11 22:57:10.793202
67,94,1,1,2006-08-11 05:59:26.383151,2000-10-13 12:35:34.403602
68,76,10,1,1999-02-13 01:57:31.737580,2021-06-11 19:24:16.902117
69,84,38,1,1992-08-26 22:05:46.269775,2001-12-19 16:49:51.507345
70,11,70,1,1970-09-30 07:24:19.279985,1973-11-27 07:51:07.592073
71,32,99,0,1991-05-31 20:44:57.839704,1988-10-13 07:13:40.591038
72,99,12,0,2017-05-15 19:15:25.988088,2012-05-21 04:04:22.218057
73,41,78,0,2005-09-08 11:02:39.221575,1981-01-11 22:54:51.334134
74,36,18,1,2008-01-15 05:52:21.350832,2009-04-08 11:34:23.549863
75,72,1,1,1999-11-25 14:04:45.325036,1980-02-29 15:09:36.748666
76,23,81,1,2005-08-26 09:37:34.052889,1976-09-12 16:36:55.824618
77,13,41,1,1980-08-07 07:13:03.799411,2005-08-12 17:52:54.401348
78,55,40,0,1988-11-27 20:48:25.922287,2007-01-09 07:25:01.173646
79,49,40,1,2015-04-17 12:47:49.706590,1973-08-20 20:59:28.070058
80,59,95,1,2008-02-25 10:13:55.831274,1980-09-05 22:22:05.452397
81,4,80,0,2023-03-31 00:24:32.446547,2023-12-13 08:11:01.109828
82,35,35,0,1990-11-29 10:31:41.107332,2009-05-21 07:43:40.410239
83,15,81,0,2014-12-20 19:21:23.992467,1998-04-24 11:51:25.700984
84,86,50,1,1973-04-05 07:28:39.103572,1973-08-14 08:05:34.346375
85,96,83,1,1992-09-01 02:12:37.251472,1974-05-19 09:55:46.810392
86,25,93,1,2004-04-19 09:34:18.437369,2019-06-02 23:49:54.218050
87,48,45,0,2022-08-28 20:04:47.941743,1973-07-31 09:51:13.859752
88,31,42,1,1977-05-02 19:36:54.343999,2023-11-09 01:21:12.599421
89,59,21,0,2013-01-26 17:20:28.726219,2018-07-05 01:33:14.002228
90,93,80,1,1993-05-12 08:16:00.827146,1997-03-17 02:32:03.182487
91,44,37,0,1974-03-30 13:40:05.981321,1988-10-23 08:12:54.015274
92,72,75,1,1983-10-22 10:38:35.670117,1976-10-12 11:55:32.622049
93,28,30,1,1977-02-23 17:10:11.896475,1974-11-02 17:28:09.639663
94,48,78,1,2019-11-12 13:20:39.795060,1988-03-08 16:25:10.215094
95,81,33,0,2023-11-08 22:21:10.959731,1974-07-03 18:31:18.169125
96,97,84,0,2004-12-30 21:27:35.497307,1971-09-10 13:48:10.584228
97,78,83,1,2003-10-13 19:20:58.492046,1973-05-10 18:36:46.737809
98,42,58,1,1985-07-04 04:01:49.542413,2019-10-29 18:09:15.595314
99,62,16,0,2008-04-05 04:33:39.180756,1972-02-10 12:18:44.480773
100,87,14,0,2002-01-13 22:39:49.217032,1988-02-01 22:18:48.428042
