favorite_id,blog_id,user_id,favorite_date,created_at,updated_at
91,2,42,1987-01-08,1997-03-23 08:42:55.315609,2000-02-04 18:27:32.713690
92,45,12,1998-12-03,1976-04-21 14:53:03.228946,2008-03-12 23:49:18.330488
93,97,50,1988-09-11,2017-01-19 11:30:59.422800,2015-02-18 11:56:40.517083
94,44,68,1978-12-12,1974-02-10 16:48:47.282440,2003-08-17 18:17:41.432741
95,1,85,1972-08-07,2015-09-04 09:43:49.369003,2020-08-06 09:19:05.976034
96,91,37,1971-07-13,2009-02-28 05:58:44.855285,1992-04-08 11:31:19.521974
97,98,8,1977-03-07,1997-04-28 19:47:22.294339,1971-09-03 23:48:31.575572
98,90,75,1979-04-30,2000-11-07 20:39:58.518276,1994-11-18 02:19:23.916802
99,35,91,2004-11-29,2019-10-16 20:08:58.469233,2011-11-04 21:47:32.367738
100,89,15,2009-04-13,1978-05-28 21:02:11.796487,2012-09-07 16:46:46.626996
